date,sales
2014-07-15,2644
2014-07-16,2696
2014-07-17,2901
2014-07-18,3058
2014-07-19,3227
2014-07-20,3323
2014-07-21,2473
2014-07-22,2712
2014-07-23,2616
2014-07-24,2855
2014-07-25,3113
2014-07-26,3295
2014-07-27,3548
2014-07-28,2269
2014-07-29,2784
2014-07-30,2654
2014-07-31,2882
2014-08-01,2614
2014-08-02,2816
2014-08-03,3011
2014-08-04,2074
2014-08-05,2309
2014-08-06,2348
2014-08-07,2572
2014-08-08,2673
2014-08-09,2975
2014-08-10,2986
2014-08-11,1915
2014-08-12,2438
2014-08-13,2328
2014-08-14,2491
2014-08-15,2723
2014-08-16,2922
2014-08-17,3012
2014-08-18,2099
2014-08-19,2368
2014-08-20,2358
2014-08-21,2472
2014-08-22,2689
2014-08-23,2800
2014-08-24,2952
2014-08-25,2020
2014-08-26,2349
2014-08-27,2358
2014-08-28,2427
2014-08-29,2718
2014-08-30,2901
2014-08-31,3076
2014-09-01,1839
2014-09-02,2230
2014-09-03,2289
2014-09-04,2382
2014-09-05,2516
2014-09-06,2600
2014-09-07,2860
2014-09-08,1936
2014-09-09,2166
2014-09-10,2205
2014-09-11,2377
2014-09-12,2527
2014-09-13,2690
2014-09-14,2879
2014-09-15,1900
2014-09-16,2212
2014-09-17,2293
2014-09-18,2322
2014-09-19,2540
2014-09-20,2676
2014-09-21,2899
2014-09-22,1845
2014-09-23,2261
2014-09-24,2260
2014-09-25,2277
2014-09-26,2494
2014-09-27,2707
2014-09-28,2859
2014-09-29,1869
2014-09-30,2224
2014-10-01,2046
2014-10-02,2229
2014-10-03,2339
2014-10-04,2510
2014-10-05,2640
2014-10-06,1754
2014-10-07,1980
2014-10-08,2051
2014-10-09,2216
2014-10-10,2304
2014-10-11,2597
2014-10-12,2705
2014-10-13,1709
2014-10-14,2007
2014-10-15,2088
2014-10-16,2181
2014-10-17,2300
2014-10-18,2524
2014-10-19,2707
2014-10-20,1761
2014-10-21,2082
2014-10-22,2054
2014-10-23,2170
2014-10-24,2311
2014-10-25,2530
2014-10-26,2687
2014-10-27,1735
2014-10-28,2067
2014-10-29,1981
2014-10-30,2190
2014-10-31,2285
2014-11-01,2618
2014-11-02,2831
2014-11-03,1882
2014-11-04,2280
2014-11-05,2164
2014-11-06,2380
2014-11-07,2477
2014-11-08,2698
2014-11-09,2842
2014-11-10,1892
2014-11-11,2246
2014-11-12,2190
2014-11-13,2423
2014-11-14,2514
2014-11-15,2714
2014-11-16,2852
2014-11-17,1908
2014-11-18,2135
2014-11-19,2265
2014-11-20,2369
2014-11-21,2481
2014-11-22,2686
2014-11-23,2880
2014-11-24,1844
2014-11-25,2258
2014-11-26,2271
2014-11-27,2322
2014-11-28,2565
2014-11-29,2707
2014-11-30,2812
2014-12-01,1356
2014-12-02,1652
2014-12-03,1582
2014-12-04,1750
2014-12-05,1776
2014-12-06,1846
2014-12-07,1970
2014-12-08,1325
2014-12-09,1625
2014-12-10,1602
2014-12-11,1721
2014-12-12,1769
2014-12-13,1899
2014-12-14,2037
2014-12-15,1297
2014-12-16,1563
2014-12-17,1610
2014-12-18,1679
2014-12-19,1825
2014-12-20,1941
2014-12-21,2051
2014-12-22,1431
2014-12-23,1646
2014-12-24,1638
2014-12-25,1708
2014-12-26,1773
2014-12-27,1907
2014-12-28,2038
2014-12-29,1308
2014-12-30,1507
2014-12-31,1583
2015-01-01,1508
2015-01-02,1681
2015-01-03,1741
2015-01-04,1932
2015-01-05,1337
2015-01-06,1430
2015-01-07,1501
2015-01-08,1617
2015-01-09,1650
2015-01-10,1808
2015-01-11,1904
2015-01-12,1296
2015-01-13,1444
2015-01-14,1462
2015-01-15,1573
2015-01-16,1679
2015-01-17,1799
2015-01-18,1873
2015-01-19,1294
2015-01-20,1519
2015-01-21,1479
2015-01-22,1568
2015-01-23,1738
2015-01-24,1828
2015-01-25,1874
2015-01-26,1276
2015-01-27,1510
2015-01-28,1487
2015-01-29,1547
2015-01-30,1665
2015-01-31,1822
2015-02-01,2127
2015-02-02,1410
2015-02-03,1574
2015-02-04,1630
2015-02-05,1739
2015-02-06,1857
2015-02-07,1926
2015-02-08,2186
2015-02-09,1461
2015-02-10,1690
2015-02-11,1668
2015-02-12,1750
2015-02-13,1873
2015-02-14,1996
2015-02-15,2158
2015-02-16,1417
2015-02-17,1653
2015-02-18,1656
2015-02-19,1814
2015-02-20,1814
2015-02-21,1908
2015-02-22,2093
2015-02-23,1365
2015-02-24,1563
2015-02-25,1606
2015-02-26,1744
2015-02-27,1801
2015-02-28,2051
2015-03-01,2526
2015-03-02,1706
2015-03-03,1920
2015-03-04,1995
2015-03-05,2122
2015-03-06,2204
2015-03-07,2424
2015-03-08,2557
2015-03-09,1697
2015-03-10,2038
2015-03-11,1970
2015-03-12,2064
2015-03-13,2425
2015-03-14,2430
2015-03-15,2580
2015-03-16,1678
2015-03-17,1965
2015-03-18,1963
2015-03-19,2128
2015-03-20,2304
2015-03-21,2408
2015-03-22,2511
2015-03-23,1660
2015-03-24,1927
2015-03-25,1976
2015-03-26,2065
2015-03-27,2172
2015-03-28,2311
2015-03-29,2631
2015-03-30,1701
2015-03-31,1998
2015-04-01,2256
2015-04-02,2546
2015-04-03,2710
2015-04-04,2816
2015-04-05,2955
2015-04-06,2046
2015-04-07,2312
2015-04-08,2340
2015-04-09,2509
2015-04-10,2533
2015-04-11,2793
2015-04-12,2943
2015-04-13,1958
2015-04-14,2273
2015-04-15,2224
2015-04-16,2474
2015-04-17,2717
2015-04-18,2776
2015-04-19,2985
2015-04-20,1965
2015-04-21,2297
2015-04-22,2354
2015-04-23,2469
2015-04-24,2589
2015-04-25,2794
2015-04-26,3011
2015-04-27,1907
2015-04-28,2309
2015-04-29,2291
2015-04-30,2549
2015-05-01,2743
2015-05-02,3037
2015-05-03,3193
2015-05-04,2186
2015-05-05,2411
2015-05-06,2494
2015-05-07,2485
2015-05-08,2812
2015-05-09,2911
2015-05-10,3157
2015-05-11,2046
2015-05-12,2500
2015-05-13,2513
2015-05-14,2658
2015-05-15,2848
2015-05-16,3006
2015-05-17,3148
2015-05-18,2128
2015-05-19,2472
2015-05-20,2437
2015-05-21,2627
2015-05-22,2736
2015-05-23,2918
2015-05-24,3208
2015-05-25,2127
2015-05-26,2543
2015-05-27,2531
2015-05-28,2607
2015-05-29,2841
2015-05-30,3086
2015-05-31,3114
2015-06-01,2328
2015-06-02,2677
2015-06-03,2697
2015-06-04,2831
2015-06-05,3016
2015-06-06,3252
2015-06-07,3322
2015-06-08,2129
2015-06-09,2585
2015-06-10,2626
2015-06-11,2789
2015-06-12,3002
2015-06-13,3295
2015-06-14,3409
2015-06-15,2244
2015-06-16,2625
2015-06-17,2611
2015-06-18,2800
2015-06-19,3094
2015-06-20,3074
2015-06-21,3394
2015-06-22,2253
2015-06-23,2692
2015-06-24,2683
2015-06-25,2752
2015-06-26,3067
2015-06-27,3178
2015-06-28,3391
2015-06-29,2309
2015-06-30,2620
2015-07-01,2755
2015-07-02,2970
2015-07-03,3213
2015-07-04,3492
2015-07-05,3543
2015-07-06,2371
2015-07-07,2828
2015-07-08,2877
2015-07-09,2922
2015-07-10,3197
2015-07-11,3422
2015-07-12,3513
2015-07-13,2406
2015-07-14,2831
2015-07-15,2770
2015-07-16,3034
2015-07-17,3280
2015-07-18,3380
2015-07-19,3647
2015-07-20,2528
2015-07-21,2781
2015-07-22,2838
2015-07-23,2973
2015-07-24,3158
2015-07-25,3440
2015-07-26,3619
2015-07-27,2273
2015-07-28,2759
2015-07-29,2844
2015-07-30,3052
2015-07-31,3253
2015-08-01,3022
2015-08-02,3192
2015-08-03,2058
2015-08-04,2433
2015-08-05,2452
2015-08-06,2732
2015-08-07,2826
2015-08-08,3049
2015-08-09,3210
2015-08-10,2089
2015-08-11,2442
2015-08-12,2512
2015-08-13,2630
2015-08-14,2803
2015-08-15,2966
2015-08-16,3179
2015-08-17,2193
2015-08-18,2383
2015-08-19,2491
2015-08-20,2673
2015-08-21,2881
2015-08-22,3080
2015-08-23,3218
2015-08-24,2037
2015-08-25,2462
2015-08-26,2523
2015-08-27,2703
2015-08-28,2827
2015-08-29,2949
2015-08-30,3231
2015-08-31,2196
2015-09-01,2329
2015-09-02,2258
2015-09-03,2479
2015-09-04,2691
2015-09-05,2731
2015-09-06,2986
2015-09-07,1984
2015-09-08,2282
2015-09-09,2315
2015-09-10,2533
2015-09-11,2613
2015-09-12,2800
2015-09-13,3037
2015-09-14,1887
2015-09-15,2214
2015-09-16,2319
2015-09-17,2446
2015-09-18,2627
2015-09-19,2891
2015-09-20,2937
2015-09-21,2015
2015-09-22,2278
2015-09-23,2349
2015-09-24,2519
2015-09-25,2517
2015-09-26,2797
2015-09-27,2939
2015-09-28,2012
2015-09-29,2265
2015-09-30,2339
2015-10-01,2303
2015-10-02,2396
2015-10-03,2638
2015-10-04,2754
2015-10-05,1845
2015-10-06,2180
2015-10-07,2094
2015-10-08,2287
2015-10-09,2413
2015-10-10,2615
2015-10-11,2731
2015-10-12,1830
2015-10-13,2201
2015-10-14,2145
2015-10-15,2309
2015-10-16,2411
2015-10-17,2658
2015-10-18,2796
2015-10-19,1911
2015-10-20,2071
2015-10-21,2177
2015-10-22,2376
2015-10-23,2433
2015-10-24,2582
2015-10-25,2794
2015-10-26,1815
2015-10-27,2199
2015-10-28,2228
2015-10-29,2230
2015-10-30,2522
2015-10-31,2576
2015-11-01,2891
2015-11-02,1938
2015-11-03,2398
2015-11-04,2340
2015-11-05,2417
2015-11-06,2645
2015-11-07,2731
2015-11-08,2849
2015-11-09,1900
2015-11-10,2246
2015-11-11,2390
2015-11-12,2409
2015-11-13,2635
2015-11-14,2718
2015-11-15,2930
2015-11-16,2035
2015-11-17,2368
2015-11-18,2278
2015-11-19,2435
2015-11-20,2678
2015-11-21,2809
2015-11-22,2890
2015-11-23,1950
2015-11-24,2231
2015-11-25,2365
2015-11-26,2489
2015-11-27,2656
2015-11-28,2803
2015-11-29,2925
2015-11-30,1943
2015-12-01,1566
2015-12-02,1641
2015-12-03,1715
2015-12-04,1898
2015-12-05,2027
2015-12-06,2141
2015-12-07,1373
2015-12-08,1675
2015-12-09,1653
2015-12-10,1785
2015-12-11,1898
2015-12-12,1955
2015-12-13,2108
2015-12-14,1396
2015-12-15,1651
2015-12-16,1751
2015-12-17,1722
2015-12-18,1810
2015-12-19,1989
2015-12-20,2109
2015-12-21,1417
2015-12-22,1609
2015-12-23,1595
2015-12-24,1806
2015-12-25,1906
2015-12-26,2025
2015-12-27,2107
2015-12-28,1320
2015-12-29,1657
2015-12-30,1619
2015-12-31,1777
2016-01-01,1721
2016-01-02,1937
2016-01-03,2125
2016-01-04,1347
2016-01-05,1608
2016-01-06,1622
2016-01-07,1784
2016-01-08,1860
2016-01-09,1914
2016-01-10,2045
2016-01-11,1389
2016-01-12,1646
2016-01-13,1600
2016-01-14,1782
2016-01-15,1880
2016-01-16,1958
2016-01-17,2167
2016-01-18,1346
2016-01-19,1529
2016-01-20,1610
2016-01-21,1723
2016-01-22,1851
2016-01-23,1907
2016-01-24,2071
2016-01-25,1291
2016-01-26,1674
2016-01-27,1601
2016-01-28,1670
2016-01-29,1863
2016-01-30,1949
2016-01-31,2089
2016-02-01,1562
2016-02-02,1762
2016-02-03,1735
2016-02-04,1907
2016-02-05,2090
2016-02-06,2239
2016-02-07,2243
2016-02-08,1505
2016-02-09,1816
2016-02-10,1806
2016-02-11,1966
2016-02-12,2056
2016-02-13,2141
2016-02-14,2260
2016-02-15,1522
2016-02-16,1781
2016-02-17,1800
2016-02-18,1930
2016-02-19,2040
2016-02-20,2168
2016-02-21,2352
2016-02-22,1580
2016-02-23,1814
2016-02-24,1798
2016-02-25,1898
2016-02-26,2071
2016-02-27,2136
2016-02-28,2265
2016-02-29,1479
2016-03-01,2131
2016-03-02,2142
2016-03-03,2317
2016-03-04,2453
2016-03-05,2617
2016-03-06,2705
2016-03-07,1832
2016-03-08,2134
2016-03-09,2150
2016-03-10,2307
2016-03-11,2487
2016-03-12,2557
2016-03-13,2771
2016-03-14,1889
2016-03-15,2135
2016-03-16,2120
2016-03-17,2301
2016-03-18,2432
2016-03-19,2541
2016-03-20,2704
2016-03-21,1873
2016-03-22,2159
2016-03-23,2131
2016-03-24,2355
2016-03-25,2457
2016-03-26,2554
2016-03-27,2791
2016-03-28,1909
2016-03-29,2214
2016-03-30,2102
2016-03-31,2295
2016-04-01,2839
2016-04-02,3043
2016-04-03,3284
2016-04-04,2091
2016-04-05,2480
2016-04-06,2520
2016-04-07,2714
2016-04-08,2821
2016-04-09,3077
2016-04-10,3281
2016-04-11,2203
2016-04-12,2490
2016-04-13,2429
2016-04-14,2662
2016-04-15,2825
2016-04-16,2970
2016-04-17,3091
2016-04-18,2167
2016-04-19,2493
2016-04-20,2524
2016-04-21,2717
2016-04-22,2881
2016-04-23,3026
2016-04-24,3134
2016-04-25,2108
2016-04-26,2533
2016-04-27,2406
2016-04-28,2671
2016-04-29,2986
2016-04-30,3091
2016-05-01,3334
2016-05-02,2226
2016-05-03,2595
2016-05-04,2737
2016-05-05,2830
2016-05-06,3187
2016-05-07,3220
2016-05-08,3445
2016-05-09,2283
2016-05-10,2641
2016-05-11,2712
2016-05-12,2962
2016-05-13,3111
2016-05-14,3273
2016-05-15,3422
2016-05-16,2324
2016-05-17,2590
2016-05-18,2756
2016-05-19,2917
2016-05-20,3135
2016-05-21,3099
2016-05-22,3548
2016-05-23,2372
2016-05-24,2578
2016-05-25,2588
2016-05-26,2889
2016-05-27,3016
2016-05-28,3370
2016-05-29,3378
2016-05-30,2313
2016-05-31,2651
2016-06-01,2891
2016-06-02,2926
2016-06-03,3228
2016-06-04,3490
2016-06-05,3674
2016-06-06,2561
2016-06-07,2826
2016-06-08,2939
2016-06-09,3048
2016-06-10,3274
2016-06-11,3515
2016-06-12,3647
2016-06-13,2373
2016-06-14,2888
2016-06-15,2843
2016-06-16,3010
2016-06-17,3250
2016-06-18,3554
2016-06-19,3644
2016-06-20,2473
2016-06-21,2770
2016-06-22,2866
2016-06-23,3026
2016-06-24,3248
2016-06-25,3510
2016-06-26,3658
2016-06-27,2379
2016-06-28,2827
2016-06-29,2838
2016-06-30,3055
2016-07-01,3546
2016-07-02,3597
2016-07-03,3832
2016-07-04,2636
2016-07-05,3070
2016-07-06,3038
2016-07-07,3338
2016-07-08,3395
2016-07-09,3686
2016-07-10,3869
2016-07-11,2684
2016-07-12,3051
2016-07-13,3135
2016-07-14,3202
2016-07-15,3494
2016-07-16,3696
2016-07-17,3934
2016-07-18,2622
2016-07-19,3084
2016-07-20,2994
2016-07-21,3308
2016-07-22,3448
2016-07-23,3583
2016-07-24,3919
2016-07-25,2622
2016-07-26,2984
2016-07-27,3010
2016-07-28,3226
2016-07-29,3423
2016-07-30,3691
2016-07-31,3910
2016-08-01,2307
2016-08-02,2645
2016-08-03,2696
2016-08-04,2870
2016-08-05,3021
2016-08-06,3261
2016-08-07,3449
2016-08-08,2319
2016-08-09,2696
2016-08-10,2676
2016-08-11,2935
2016-08-12,2936
2016-08-13,3275
2016-08-14,3492
2016-08-15,2263
2016-08-16,2712
2016-08-17,2672
2016-08-18,2826
2016-08-19,3026
2016-08-20,3254
2016-08-21,3438
2016-08-22,2296
2016-08-23,2694
2016-08-24,2694
2016-08-25,2745
2016-08-26,3039
2016-08-27,3267
2016-08-28,3410
2016-08-29,2338
2016-08-30,2704
2016-08-31,2670
2016-09-01,2734
2016-09-02,2931
2016-09-03,2994
2016-09-04,3301
2016-09-05,2124
2016-09-06,2496
2016-09-07,2509
2016-09-08,2706
2016-09-09,2933
2016-09-10,3082
2016-09-11,3116
2016-09-12,2150
2016-09-13,2397
2016-09-14,2561
2016-09-15,2717
2016-09-16,2829
2016-09-17,2965
2016-09-18,3217
2016-09-19,2174
2016-09-20,2512
2016-09-21,2439
2016-09-22,2651
2016-09-23,2795
2016-09-24,3115
2016-09-25,3251
2016-09-26,2130
2016-09-27,2468
2016-09-28,2593
2016-09-29,2731
2016-09-30,2823
2016-10-01,2734
2016-10-02,2884
2016-10-03,2059
2016-10-04,2272
2016-10-05,2271
2016-10-06,2483
2016-10-07,2589
2016-10-08,2840
2016-10-09,2999
2016-10-10,2031
2016-10-11,2379
2016-10-12,2390
2016-10-13,2420
2016-10-14,2667
2016-10-15,2882
2016-10-16,2983
2016-10-17,2024
2016-10-18,2318
2016-10-19,2325
2016-10-20,2452
2016-10-21,2611
2016-10-22,2877
2016-10-23,3066
2016-10-24,1980
2016-10-25,2367
2016-10-26,2346
2016-10-27,2554
2016-10-28,2694
2016-10-29,2932
2016-10-30,2984
